Capacitance,0201 | 25V,0201 | 50V,0402 | 16V,0402 | 25V,0402 | 50V,0603 | 16V,0603 | 25V,0603 | 50V,0805 | 16V,0805 | 25V,0805 | 50V,1206 | 16V,1206 | 25V,1206 | 50V,1210 | 25V,1210 | 50V,1812 | 50V
0.22 pF,0.3± 0.03,0.3± 0.03,,,,,,,,,,,,,,,
0.47 pF,0.3± 0.03,0.3± 0.03,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,,,
0.82 pF,0.3± 0.03,0.3± 0.03,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,,,
1.0 pF, 0.3± 0.03, 0.3± 0.03, 0.5± 0.05, 0.5± 0.05, 0.5± 0.05, 0.8± 0.1, 0.8± 0.1, 0.8± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1,,,
1.2 pF, 0.3± 0.03, 0.3± 0.03, 0.5± 0.05, 0.5± 0.05, 0.5± 0.05, 0.8± 0.1, 0.8± 0.1, 0.8± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1,,,
1.5 pF, 0.3± 0.03, 0.3± 0.03, 0.5± 0.05, 0.5± 0.05, 0.5± 0.05, 0.8± 0.1, 0.8± 0.1, 0.8± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1,,,
1.8 pF, 0.3± 0.03, 0.3± 0.03, 0.5± 0.05, 0.5± 0.05, 0.5± 0.05, 0.8± 0.1, 0.8± 0.1, 0.8± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1,,,
2.2 pF, 0.3± 0.03, 0.3± 0.03, 0.5± 0.05, 0.5± 0.05, 0.5± 0.05, 0.8± 0.1, 0.8± 0.1, 0.8± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1,,,
2.7 pF, 0.3± 0.03, 0.3± 0.03, 0.5± 0.05, 0.5± 0.05, 0.5± 0.05, 0.8± 0.1, 0.8± 0.1, 0.8± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1,,,
3.3 pF, 0.3± 0.03, 0.3± 0.03, 0.5± 0.05, 0.5± 0.05, 0.5± 0.05, 0.8± 0.1, 0.8± 0.1, 0.8± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1,,,
3.9 pF, 0.3± 0.03, 0.3± 0.03, 0.5± 0.05, 0.5± 0.05, 0.5± 0.05, 0.8± 0.1, 0.8± 0.1, 0.8± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1,,,
4.7 pF, 0.3± 0.03, 0.3± 0.03, 0.5± 0.05, 0.5± 0.05, 0.5± 0.05, 0.8± 0.1, 0.8± 0.1, 0.8± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1,,,
5.6 pF, 0.3± 0.03, 0.3± 0.03, 0.5± 0.05, 0.5± 0.05, 0.5± 0.05, 0.8± 0.1, 0.8± 0.1, 0.8± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1,,,
6.8 pF, 0.3± 0.03, 0.3± 0.03, 0.5± 0.05, 0.5± 0.05, 0.5± 0.05, 0.8± 0.1, 0.8± 0.1, 0.8± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1,,,
8.2 pF, 0.3± 0.03, 0.3± 0.03, 0.5± 0.05, 0.5± 0.05, 0.5± 0.05, 0.8± 0.1, 0.8± 0.1, 0.8± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1,,,
10 pF,0.3± 0.03,0.3± 0.03,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,,,
12 pF,0.3± 0.03,0.3± 0.03,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,,,
15 pF,0.3± 0.03,0.3± 0.03,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,,,
18 pF,0.3± 0.03,0.3± 0.03,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,,,
22 pF,0.3± 0.03,0.3± 0.03,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,,,
27 pF,0.3± 0.03,0.3± 0.03,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,,,
33 pF,0.3± 0.03,0.3± 0.03,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,,,
39 pF,0.3± 0.03,0.3± 0.03,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,,,
47 pF,0.3± 0.03,0.3± 0.03,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,
56 pF,0.3± 0.03,0.3± 0.03,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
68 pF,0.3± 0.03,0.3± 0.03,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
82 pF,0.3± 0.03,0.3± 0.03,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
100 pF, 0.3± 0.03, 0.3± 0.03, 0.5± 0.05, 0.5± 0.05, 0.5± 0.05, 0.8± 0.1, 0.8± 0.1, 0.8± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 0.6± 0.1, 1.25± 0.2, 1.25± 0.2, 1.25± 0.2
120 pF,,,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
150 pF,,,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
180 pF,,,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
220 pF,,,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
270 pF,,,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
330 pF,,,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
390 pF,,,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
470 pF,,,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
560 pF,,,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
680 pF,,,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
820 pF,,,,,,0.8± 0.1,0.8± 0.1,0.8± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
1.0 nF,,,0.5± 0.05,0.5± 0.05,0.5± 0.05,0.8± 0.1,0.8± 0.1,0.8± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
1.2 nF,,,,,,   0.8± 0.1, 0.8± 0.1, 0.8± 0.1, 0.85± 0.1, 0.85± 0.1, 0.85± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1 ,1.25± 0.2 ,1.25± 0.2,1.25± 0.2
1.5 nF,,,,,,   0.8± 0.1,0.8± 0.1, 0.8± 0.1, 0.85± 0.1, 0.85± 0.1, 0.85± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1 ,1.25± 0.2,1.25± 0.2,1.25± 0.2
1.8 nF,,,,,,   0.8± 0.1,0.8± 0.1, 0.8± 0.1, 0.85± 0.1, 0.85± 0.1, 0.85± 0.1, 0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
2.2 nF,,,,,,   0.8± 0.1,0.8± 0.1, 0.8± 0.1, 1.25± 0.2, 1.25± 0.2, 1.25± 0.2, 0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
2.7 nF,,,,,,   0.8± 0.1,0.8± 0.1, 0.8± 0.1, 1.25± 0.2, 1.25± 0.2, 1.25± 0.2, 0.6± 0.1,0.6± 0.1,0.6± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2
3.3 nF,,,,,,   0.8± 0.1,0.8± 0.1, 0.8± 0.1, 1.25± 0.2, 1.25± 0.2, 1.25± 0.2, 0.85± 0.1, 0.85± 0.1, 0.85± 0.1, 1.25± 0.2,1.25± 0.2,1.25± 0.2
3.9 nF,,,,,,   0.8± 0.1,0.8± 0.1, 0.8± 0.1, 1.25± 0.2, 1.25± 0.2, 1.25± 0.2, 0.85± 0.1, 0.85± 0.1, 0.85± 0.1, 1.25± 0.2,1.25± 0.2,1.25± 0.2
4.7 nF,,,,,,,,, 1.25± 0.2, 1.25± 0.2, 1.25± 0.2, 0.85± 0.1, 0.85± 0.1, 0.85± 0.1, 1.25± 0.2,1.25± 0.2,1.25± 0.2
5.6 nF,,,,,,,,, 1.25± 0.2, 1.25± 0.2, 1.25± 0.2, 0.85± 0.1, 0.85± 0.1, 0.85± 0.1, 1.25± 0.2,1.25± 0.2,1.25± 0.2
6.8 nF,,,,,,,,, 1.25± 0.2, 1.25± 0.2, 1.25± 0.2, 0.85± 0.1, 0.85± 0.1, 0.85± 0.1, 1.25± 0.2,1.25± 0.2,1.25± 0.2
8.2 nF,,,,,,,,, 1.25± 0.2, 1.25± 0.2, 1.25± 0.2, 1.25± 0.2, 1.25± 0.2, 1.25± 0.2, 1.25± 0.2,1.25± 0.2,1.25± 0.2
10 nF,,,,,,  0.8± 0.1, 0.8± 0.1,0.8± 0.1,1.25± 0.2,1.25± 0.2,1.25± 0.2,1.25± 0.2,1.25± 0.2,1.25± 0.2,1.25± 0.2 ,1.25± 0.2,1.25± 0.2
12 nF,,,,,,,,,,,,   0.85± 0.1,0.85± 0.1,0.85± 0.1,,,  1.25± 0.2
15 nF,,,,,,,,,,,,   0.85± 0.1,0.85± 0.1,0.85± 0.1,,,  1.25± 0.2
18 nF,,,,,,,,,,,,   0.85± 0.1,0.85± 0.1,0.85± 0.1,,,  1.25± 0.2
22 nF,,,,,,,,,,,,   0.85± 0.1,0.85± 0.1,0.85± 0.1,2.0± 0.2,2.0± 0.2, 1.25± 0.2
33 nF,,,,,,,,,,,,   0.85± 0.1,0.85± 0.1,0.85± 0.1,,,
47 nF,,,,,,,,,,,,   1.25± 0.2,1.25± 0.2,1.25± 0.2,1.60± 0.2,1.60± 0.2,
56 nF,,,,,,,,,,,,,,,,,
68 nF,,,,,,,,,,,,   1.60± 0.2,1.60± 0.2,1.60± 0.2,,,
82 nF,,,,,,,,,,,,,,,,,
100 nF,,,,,,,,,,,,    1.60± 0.2, 1.60± 0.2, 1.60± 0.2,,,
